===== 人体尺度 =====
--p20(印4)--
>> 我国成年人体主要参考尺度见表1-1～表1-8。
>> **表1-1 我国成年人体主要参考尺度（男）**
| 测量项目 | 位数 | 18~60岁 | 18~25岁 | 26~35岁 | 36~60岁 |
|  | P50 | 130 | 131 |
|  | P90 | 147 | 148 |
|  | P95 | 152 | 152 |
|  | P99 | 160 | 162 |
| 坐姿膝高 | P1 | 441 | 439 |
|  | P5 | 456 | 455 |
|  | P10 | 464 | 462 |
|  | P50 | 494 | 490 |
|  | P90 | 523 | 518 |
|  | P95 | 531 | 527 |
|  | P99 | 553 | 543 |
| 小腿加足高 | P1 | 373 | 370 |
|  | P5 | 384 | 380 |
|  | P10 | 391 | 386 |
|  | P50 | 415 | 409 |
|  | P90 | 441 | 435 |
|  | P95 | 448 | 442 |
|  | P99 | 462 | 458 |
| 坐深 | P1 | 405 | 407 |
|  | P5 | 421 | 420 |
|  | P10 | 429 | 428 |
|  | P50 | 458 | 457 |
|  | P90 | 486 | 486 |
|  | P95 | 493 | 494 |
|  | P99 | 510 | 511 |
| 臀膝距 | P1 | 497 | 500 |
|  | P5 | 514 | 515 |
|  | P10 | 523 | 524 |
|  | P50 | 554 | 554 |
|  | P90 | 586 | 585 |
|  | P95 | 595 | 596 |
|  | P99 | 611 | 613 |
| 坐姿下肢长 | P1 | 889 | 892 |
|  | P5 | 919 | 922 |
|  | P10 | 934 | 938 |
|  | P50 | 991 | 992 |
|  | P90 | 1045 | 1045 |
|  | P95 | 1064 | 1060 |
|  | P99 | 1095 | 1095 |
>> **表1-4 我国成年坐姿人体参考尺度（女）（单位：mm；本页为18~55岁、18~25岁两组）**
| 测量项目 | 位数 | 18~55岁 | 18~25岁 |
| --- | --- | --- | --- |
| 坐高 | P1 | 789 | 793 |
|  | P5 | 809 | 811 |
|  | P10 | 819 | 822 |
|  | P50 | 855 | 858 |
|  | P90 | 891 | 894 |
|  | P95 | 901 | 903 |
|  | P99 | 920 | 924 |
| 坐姿颈椎点高 | P1 | 563 | 565 |
|  | P5 | 579 | 581 |
|  | P10 | 587 | 589 |
|  | P50 | 617 | 618 |
|  | P90 | 648 | 649 |
|  | P95 | 657 | 658 |
|  | P99 | 675 | 677 |
| 坐姿眼高 | P1 | 678 | 680 |
|  | P5 | 695 | 636【疑原书数据异常，P5小于P1，照录】 |
|  | P10 | 704 | 707 |
|  | P50 | 739 | 741 |
|  | P90 | 773 | 774 |
|  | P95 | 783 | 785 |
|  | P99 | 803 | 806 |
| 坐姿肩高 | P1 | 504 | 503 |
|  | P5 | 518 | 517 |
|  | P10 | 526 | 526 |
|  | P50 | 556 | 555 |
|  | P90 | 585 | 584 |
|  | P95 | 594 | 593 |
|  | P99 | 609 | 608 |
| 坐姿肘高 | P1 | 201 | 200 |
|  | P5 | 215 | 214 |
|  | P10 | 223 | 222 |
|  | P50 | 251 | 249 |
|  | P90 | 277 | 275 |
|  | P95 | 284 | 283 |
|  | P99 | 299 | 299 |
| 坐姿大腿厚 | P1 | 107 | 107 |
|  | P5 | 113 | 113 |
|  | P10 | 117 | 116 |
|  | P50 | 130 | 129 |
|  | P90 | 146 | 143 |
|  | P95 | 151 | 148 |
|  | P99 | 160 | 156 |
| 坐姿加膝高【疑为"坐姿膝高"之误排，照录】 | P1 | 410 | 412 |
|  | P5 | 424 | 428 |
|  | P10 | 431 | 435 |
|  | P50 | 458 | 461 |
|  | P90 | 485 | 487 |
|  | P95 | 493 | 494 |
|  | P99 | 507 | 512 |
| 小腿加足高 | P1 | 331 | 336 |
|  | P5 | 342 | 346 |
|  | P10 | 350 | 355 |
|  | P50 | 382 | 384 |
|  | P90 | 399 | 402 |
|  | P95 | 405 | 408 |
|  | P99 | 417 | 420 |
| 坐深 | P1 | 388 | 389 |
|  | P5 | 401 | 401 |
|  | P10 | 408 | 409 |
|  | P50 | 433 | 433 |
|  | P90 | 461 | 460 |
|  | P95 | 469 | 468 |
|  | P99 | 485 | 485 |
| 臀膝距 | P1 | 481 | 480 |
|  | P5 | 495 | 495 |
|  | P10 | 502 | 501 |
|  | P50 | 529 | 529 |
|  | P90 | 561 | 560 |
|  | P95 | 570 | 568 |
|  | P99 | 587 | 586 |
| 坐姿下肢长 | P1 | 826 | 825 |
|  | P5 | 851 | 854 |
|  | P10 | 865 | 867 |
|  | P50 | 912 | 914 |
|  | P90 | 960 | 963 |
|  | P95 | 975 | 978 |
|  | P99 | 1005 | 1008 |
--p23(印7)--
>> **续表（表1-4 我国成年坐姿人体参考尺度（女）续：26~35岁、36~55岁两组）**
| 测量项目 | 位数 | 26~35岁 | 36~55岁 |
| --- | --- | --- | --- |
| 坐高 | P1 | 792 | 786 |
|  | P5 | 810 | 805 |
|  | P10 | 820 | 816 |
|  | P50 | 857 | 851 |
|  | P90 | 893 | 886 |
|  | P95 | 904 | 896 |
|  | P99 | 921 | 915 |
| 坐姿颈椎点高 | P1 | 563 | 561 |
|  | P5 | 579 | 576 |
|  | P10 | 588 | 584 |
|  | P50 | 618 | 616 |
|  | P90 | 650 | 647 |
|  | P95 | 658 | 655 |
|  | P99 | 677 | 672 |
| 坐姿眼高 | P1 | 679 | 674 |
|  | P5 | 696 | 692 |
|  | P10 | 705 | 701 |
|  | P50 | 740 | 735 |
|  | P90 | 775 | 769 |
|  | P95 | 786 | 778 |
|  | P99 | 806 | 796 |
| 坐姿肩高 | P1 | 506 | 504 |
|  | P5 | 520 | 518 |
|  | P10 | 528 | 525 |
|  | P50 | 556 | 555 |
|  | P90 | 587 | 584 |
|  | P95 | 596 | 592 |
|  | P99 | 610 | 608 |
| 坐姿肘高 | P1 | 204 | 201 |
|  | P5 | 217 | 215 |
|  | P10 | 225 | 223 |
|  | P50 | 251 | 251 |
|  | P90 | 277 | 279 |
|  | P95 | 284 | 287 |
|  | P99 | 298 | 300 |
| 坐姿大腿厚 | P1 | 107 | 108 |
|  | P5 | 113 | 114 |
|  | P10 | 116 | 118 |
|  | P50 | 130 | 133 |
|  | P90 | 145 | 149 |
|  | P95 | 150 | 154 |
|  | P99 | 160 | 164 |
| 坐姿膝高 | P1 | 409 | 409 |
|  | P5 | 423 | 422 |
|  | P10 | 431 | 429 |
|  | P50 | 458 | 455 |
|  | P90 | 486 | 483 |
|  | P95 | 493 | 490 |
|  | P99 | 508 | 503 |
| 小腿加足高 | P1 | 334 | 327 |
|  | P5 | 345 | 338 |
|  | P10 | 353 | 344 |
|  | P50 | 383 | 379 |
|  | P90 | 399 | 396 |
|  | P95 | 405 | 401 |
|  | P99 | 417 | 412 |
| 坐深 | P1 | 390 | 386 |
|  | P5 | 403 | 400 |
|  | P10 | 409 | 406 |
|  | P50 | 434 | 432 |
|  | P90 | 463 | 461 |
|  | P95 | 470 | 468 |
|  | P99 | 485 | 487 |
| 臀膝距 | P1 | 481 | 482 |
|  | P5 | 494 | 496 |
|  | P10 | 501 | 502 |
|  | P50 | 529 | 529 |
|  | P90 | 561 | 562 |
|  | P95 | 570 | 572 |
|  | P99 | 590 | 588 |
| 坐姿下肢长 | P1 | 826 | 826 |
|  | P5 | 850 | 848 |
|  | P10 | 865 | 862 |
|  | P50 | 912 | 909 |
|  | P90 | 960 | 957 |
|  | P95 | 976 | 972 |
|  | P99 | 1004 | 996 |
>> **表1-5 我国成年水平人体参考尺度（男）（单位：mm；本页为18~60岁、18~25岁两组）**
| 测量项目 | 位数 | 18~60岁 | 18~25岁 |
| --- | --- | --- | --- |
| 胸宽 | P1 | 242 | 239 |
|  | P5 | 253 | 250 |
|  | P10 | 259 | 256 |
|  | P50 | 280 | 275 |
|  | P90 | 307 | 298 |
|  | P95 | 315 | 306 |
|  | P99 | 331 | 320 |
| 胸厚 | P1 | 176 | 170 |
|  | P5 | 186 | 181 |
|  | P10 | 191 | 186 |
|  | P50 | 212 | 204 |
|  | P90 | 237 | 223 |
|  | P95 | 245 | 230 |
|  | P99 | 261 | 241 |
| 肩宽 | P1 | 330 | 331 |
|  | P5 | 344 | 344 |
|  | P10 | 351 | 351 |
|  | P50 | 375 | 375 |
|  | P90 | 397 | 398 |
|  | P95 | 403 | 404 |
|  | P99 | 415 | 417 |
| 最大肩宽 | P1 | 383 | 380 |
|  | P5 | 398 | 395 |
|  | P10 | 405 | 403 |
|  | P50 | 431 | 427 |
|  | P90 | 460 | 454 |
|  | P95 | 469 | 463 |
|  | P99 | 486 | 482 |
| 臀宽 | P1 | 273 | 271 |
|  | P5 | 282 | 280 |
|  | P10 | 288 | 285 |
|  | P50 | 306 | 302 |
|  | P90 | 327 | 322 |
|  | P95 | 334 | 327 |
|  | P99 | 346 | 339 |
| 坐姿臀宽 | P1 | 284 | 281 |
|  | P5 | 295 | 292 |
|  | P10 | 300 | 297 |
|  | P50 | 321 | 316 |
|  | P90 | 347 | 338 |
|  | P95 | 355 | 345 |
|  | P99 | 369 | 360 |
| 坐姿两肘间宽 | P1 | 353 | 348 |
|  | P5 | 371 | 364 |
|  | P10 | 381 | 374 |
|  | P50 | 422 | 410 |
|  | P90 | 473 | 454 |
|  | P95 | 489 | 467 |
|  | P99 | 518 | 495 |
| 胸围 | P1 | 762 | 746 |
|  | P5 | 791 | 778 |
|  | P10 | 806 | 792 |
|  | P50 | 867 | 845 |
|  | P90 | 944 | 908 |
|  | P95 | 970 | 925 |
|  | P99 | 1018 | 970 |
| 腰围 | P1 | 620 | 610 |
|  | P5 | 650 | 634 |
|  | P10 | 665 | 650 |
|  | P50 | 735 | 702 |
|  | P90 | 859 | 771 |
|  | P95 | 895 | 796 |
|  | P99 | 960 | 857 |
| 臀围 | P1 | 780 | 770 |
|  | P5 | 805 | 800 |
|  | P10 | 820 | 814 |
|  | P50 | 875 | 860 |
|  | P90 | 948 | 915 |
|  | P95 | 970 | 936 |
|  | P99 | 1009 | 974 |
--p24(印8)--
>> **续表（表1-5 我国成年水平人体参考尺度（男）续：26~35岁、36~60岁两组）**
| 测量项目 | 位数 | 26~35岁 | 36~60岁 |
| --- | --- | --- | --- |
| 胸宽 | P1 | 244 | 243 |
|  | P5 | 254 | 254 |
|  | P10 | 260 | 261 |
|  | P50 | 281 | 285 |
|  | P90 | 305 | 313 |
|  | P95 | 313 | 321 |
|  | P99 | 327 | 336 |
| 胸厚 | P1 | 177 | 181 |
|  | P5 | 187 | 192 |
|  | P10 | 192 | 198 |
|  | P50 | 212 | 219 |
|  | P90 | 233 | 245 |
|  | P95 | 241 | 253 |
|  | P99 | 254 | 266 |
| 肩宽 | P1 | 331 | 328 |
|  | P5 | 346 | 343 |
|  | P10 | 352 | 350 |
|  | P50 | 376 | 373 |
|  | P90 | 398 | 395 |
|  | P95 | 404 | 401 |
|  | P99 | 415 | 415 |
| 最大肩宽 | P1 | 386 | 383 |
|  | P5 | 399 | 398 |
|  | P10 | 406 | 406 |
|  | P50 | 432 | 433 |
|  | P90 | 460 | 464 |
|  | P95 | 469 | 473 |
|  | P99 | 486 | 489 |
| 臀宽 | P1 | 272 | 275 |
|  | P5 | 282 | 285 |
|  | P10 | 287 | 291 |
|  | P50 | 305 | 311 |
|  | P90 | 326 | 332 |
|  | P95 | 332 | 338 |
|  | P99 | 344 | 349 |
| 坐姿臀宽 | P1 | 283 | 289 |
|  | P5 | 295 | 299 |
|  | P10 | 300 | 304 |
